Data	Price	Class
jan-80	2054.860	Al
fev-80	2131.009	Al
mar-80	1978.379	Al
abr-80	1932.456	Al
mai-80	1775.804	Al
jun-80	1668.960	Al
jul-80	1758.075	Al
ago-80	1783.627	Al
set-80	1655.066	Al
out-80	1626.152	Al
nov-80	1503.910	Al
dez-80	1430.657	Al
jan-81	1430.830	Al
fev-81	1452.381	Al
mar-81	1442.952	Al
abr-81	1369.235	Al
mai-81	1296.996	Al
jun-81	1232.407	Al
jul-81	1175.311	Al
ago-81	1230.829	Al
set-81	1168.911	Al
out-81	1140.182	Al
nov-81	1081.846	Al
dez-81	1130.884	Al
jan-82	1113.259	Al
fev-82	1087.706	Al
mar-82	1029.237	Al
abr-82	996.208	Al
mai-82	973.294	Al
jun-82	918.849	Al
jul-82	957.848	Al
ago-82	958.864	Al
set-82	959.532	Al
out-82	951.484	Al
nov-82	965.147	Al
dez-82	987.387	Al
jan-83	1076.531	Al
fev-83	1230.456	Al
mar-83	1301.729	Al
abr-83	1363.567	Al
mai-83	1453.434	Al
jun-83	1465.578	Al
jul-83	1520.210	Al
ago-83	1603.667	Al
set-83	1613.729	Al
out-83	1566.258	Al
nov-83	1516.728	Al
dez-83	1549.339	Al
jan-84	1548.906	Al
fev-84	1491.162	Al
mar-84	1455.763	Al
abr-84	1370.350	Al
mai-84	1289.135	Al
jun-84	1275.029	Al
jul-84	1162.806	Al
ago-84	1136.009	Al
set-84	1012.170	Al
out-84	1027.648	Al
nov-84	1154.660	Al
dez-84	1095.696	Al
jan-85	1075.854	Al
fev-85	1097.901	Al
mar-85	1095.255	Al
abr-85	1108.924	Al
mai-85	1104.515	Al
jun-85	1031.762	Al
jul-85	1011.921	Al
ago-85	1018.534	Al
set-85	985.465	Al
out-85	970.033	Al
nov-85	950.191	Al
dez-85	1038.376	Al
jan-86	1119.947	Al
fev-86	1115.538	Al
mar-86	1168.448	Al
abr-86	1164.039	Al
mai-86	1164.039	Al
jun-86	1183.881	Al
jul-86	1122.152	Al
ago-86	1128.765	Al
set-86	1205.927	Al
out-86	1161.835	Al
nov-86	1130.970	Al
dez-86	1130.970	Al
jan-87	1170.653	Al
fev-87	1283.089	Al
mar-87	1369.069	Al
abr-87	1399.934	Al
mai-87	1410.957	Al
jun-87	1472.686	Al
jul-87	1653.465	Al
ago-87	1809.993	Al
set-87	1746.059	Al
out-87	1962.112	Al
nov-87	1679.920	Al
dez-87	1823.221	Al
jan-88	2001.795	Al
fev-88	2138.481	Al
mar-88	2526.495	Al
abr-88	2508.858	Al
mai-88	2987.260	Al
jun-88	3578.098	Al
jul-88	2581.610	Al
ago-88	2700.659	Al
set-88	2387.604	Al
out-88	2308.237	Al
nov-88	2380.990	Al
dez-88	2458.151	Al
jan-89	2398.626	Al
fev-89	2175.597	Al
mar-89	2074.547	Al
abr-89	2125.800	Al
mai-89	2259.000	Al
jun-89	1914.000	Al
jul-89	1756.000	Al
ago-89	1798.000	Al
set-89	1718.000	Al
out-89	1820.000	Al
nov-89	1736.000	Al
dez-89	1633.000	Al
jan-90	1528.000	Al
fev-90	1454.000	Al
mar-90	1567.000	Al
abr-90	1526.000	Al
mai-90	1527.000	Al
jun-90	1566.000	Al
jul-90	1571.000	Al
ago-90	1782.000	Al
set-90	2067.000	Al
out-90	1946.000	Al
nov-90	1618.000	Al
dez-90	1522.000	Al
jan-91	1515.000	Al
fev-91	1505.000	Al
mar-91	1496.000	Al
abr-91	1392.000	Al
mai-91	1299.950	Al
jun-91	1283.550	Al
jul-91	1297.547	Al
ago-91	1259.693	Al
set-91	1212.095	Al
out-91	1152.955	Al
nov-91	1134.925	Al
dez-91	1099.526	Al
jan-92	1181.227	Al
fev-92	1270.750	Al
mar-92	1282.023	Al
abr-92	1317.125	Al
mai-92	1306.711	Al
jun-92	1275.273	Al
jul-92	1314.348	Al
ago-92	1305.550	Al
set-92	1270.214	Al
out-92	1180.841	Al
