data	al	cu	ni	zn
1980M1	2054.860	2592.633	6584.801	773.82
1980M2	2131.009	2916.712	6978.928	868.62
1980M3	1978.379	2303.828	6733.787	740.75
1980M4	1932.456	2074.548	6233.369	707.68
1980M5	1775.804	2076.752	6000.770	701.07
1980M6	1668.960	2006.204	6294.834	676.82
1980M7	1758.075	2175.960	6622.166	712.09
1980M8	1783.627	2081.161	6584.506	767.21
1980M9	1655.066	2059.115	6655.357	795.87
1980M10	1626.152	2045.887	6691.947	804.69
1980M11	1503.910	2010.614	6452.666	800.28
1980M12	1430.657	1878.337	6390.912	782.64
1981M1	1430.830	1876.132	6403.773	776.03
1981M2	1452.381	1803.379	6370.748	731.93
1981M3	1442.952	1816.607	6292.434	756.18
1981M4	1369.235	1823.221	6307.061	824.53
1981M5	1296.996	1746.059	6352.156	850.98
1981M6	1232.407	1699.762	6169.463	839.96
1981M7	1175.311	1682.125	6150.338	864.21
1981M8	1230.829	1787.947	5999.117	954.60
1981M9	1168.911	1706.376	5579.064	936.96
1981M10	1140.182	1664.488	5216.711	890.67
1981M11	1081.846	1651.260	5100.246	875.23
1981M12	1130.884	1655.670	5496.025	848.78
1982M1	1113.259	1613.782	5628.904	820.12
1982M2	1087.706	1596.145	5716.760	824.53
1982M3	1029.237	1512.369	5653.357	791.46
1982M4	996.208	1521.188	5394.055	740.75
1982M5	973.294	1530.006	5211.838	749.57
1982M6	918.849	1309.544	5186.697	692.25
1982M7	957.848	1439.617	5068.580	723.12
1982M8	958.864	1450.640	4953.027	714.30
1982M9	959.532	1424.185	4310.297	749.57
1982M10	951.484	1463.868	3916.508	751.78
1982M11	965.147	1444.026	3433.657	709.89
1982M12	987.387	1474.891	3576.270	670.20
1983M1	1076.531	1574.099	3796.960	698.86
1983M2	1230.456	1649.055	4228.197	681.23
1983M3	1301.729	1598.350	4831.773	679.02
1983M4	1363.567	1675.511	4817.785	696.66
1983M5	1453.434	1765.901	5031.533	736.34
1983M6	1465.578	1701.967	4883.158	718.71
1983M7	1520.210	1704.171	4804.037	740.75
1983M8	1603.667	1640.237	4852.758	809.10
1983M9	1613.729	1560.871	4910.523	837.76
1983M10	1566.258	1435.208	4674.150	857.60
1983M11	1516.728	1388.911	4585.166	859.80
1983M12	1549.339	1415.366	4657.000	857.60
1984M1	1548.906	1375.683	4670.480	956.81
1984M2	1491.162	1428.593	4639.912	998.69
1984M3	1455.763	1501.346	4780.826	1040.58
1984M4	1370.350	1532.211	4911.406	1003.10
1984M5	1289.135	1419.775	4811.424	1000.90
1984M6	1275.029	1364.660	4773.232	941.37
1984M7	1162.806	1331.591	4640.180	853.19
1984M8	1136.009	1338.204	4736.074	833.35
1984M9	1012.170	1294.112	4705.637	873.03
1984M10	1027.648	1272.066	4750.295	844.37
1984M11	1154.660	1344.818	4748.400	857.60
1984M12	1095.696	1320.567	4858.982	859.80
1985M1	1075.854	1358.046	4947.168	866.42
1985M2	1097.901	1388.911	5050.785	886.26
1985M3	1095.255	1389.352	5211.723	921.53
1985M4	1108.924	1501.346	5489.504	930.35
1985M5	1104.515	1530.006	5604.145	879.64
1985M6	1031.762	1433.003	5553.438	809.10
1985M7	1011.921	1474.891	5090.467	767.21
1985M8	1018.534	1419.775	4907.484	734.14
1985M9	985.465	1366.864	4570.178	690.05
1985M10	970.033	1384.501	4239.484	632.73
1985M11	950.191	1369.069	4034.455	597.45
1985M12	1038.376	1391.115	4089.570	685.64
1986M1	1119.947	1417.570	4034.455	643.75
1986M2	1115.538	1404.343	3988.157	608.48
1986M3	1168.448	1444.026	4135.867	626.11
1986M4	1164.039	1433.003	4085.161	659.18
1986M5	1164.039	1417.570	4043.273	707.68
1986M6	1183.881	1413.162	4087.365	804.69
1986M7	1122.152	1344.818	3910.996	806.89
1986M8	1128.765	1302.930	3807.379	815.71
1986M9	1205.927	1309.544	3723.603	870.82
1986M10	1161.835	1316.158	3644.237	886.26
1986M11	1130.970	1302.930	3642.032	820.12
1986M12	1130.970	1331.591	3562.666	798.07
1987M1	1170.653	1344.818	3525.188	758.39
1987M2	1283.089	1380.092	3716.989	740.75
1987M3	1369.069	1463.868	3772.105	731.93
1987M4	1399.934	1483.709	3897.768	760.59
1987M5	1410.957	1518.983	4435.695	837.76
1987M6	1472.686	1571.894	4435.695	877.44
1987M7	1653.465	1693.148	4753.160	828.94
1987M8	1809.993	1754.878	5306.520	802.48
1987M9	1746.059	1809.993	5332.977	756.18
1987M10	1962.112	1966.521	5692.328	769.41
1987M11	1679.920	2519.880	5937.041	846.57
1987M12	1823.221	2866.006	7661.055	866.42
1988M1	2001.795	2660.977	8073.318	877.44
1988M2	2138.481	2328.079	8666.361	875.23
1988M3	2526.495	2358.943	15496.273	981.06
1988M4	2508.858	2283.987	18011.746	1069.24
1988M5	2987.260	2442.719	17024.076	1175.06
1988M6	3578.098	2539.723	15588.867	1364.66
1988M7	2581.610	2213.438	14592.379	1236.79
1988M8	2700.659	2200.210	14186.730	1307.34
1988M9	2387.604	2433.900	11878.492	1329.39
1988M10	2308.237	2936.554	11556.617	1518.98
1988M11	2380.990	3302.520	13342.359	1556.46
1988M12	2458.151	3496.527	16920.459	1591.74
1989M1	2398.626	3392.910	17725.145	1732.83
1989M2	2175.597	3095.286	18582.475	1929.50
1989M3	2074.547	3262.838	17156.354	1959.91
1989M4	2125.800	3117.333	15261.500	1654.40
1989M5	2259.000	2738.138	13454.000	1627.00
1989M6	1914.000	2544.131	12143.000	1537.00
1989M7	1756.000	2503.787	12275.000	1614.00
1989M8	1798.000	2760.185	12910.000	1726.00
1989M9	1718.000	2883.643	11222.000	1626.00
1989M10	1820.000	2859.392	10425.000	1583.00
1989M11	1736.000	2590.429	9793.000	1435.00
1989M12	1633.000	2418.468	8809.000	1450.00
1990M1	1528.000	2365.557	7056.000	1294.00
1990M2	1454.000	2358.943	6977.000	1394.00
1990M3	1567.000	2625.703	9267.000	1666.00
1990M4	1526.000	2685.227	8939.000	1686.00
1990M5	1527.000	2740.342	8698.000	1775.00
1990M6	1566.000	2583.815	8422.000	1715.00
1990M7	1571.000	2769.003	9318.000	1637.00
1990M8	1782.000	2956.396	10957.000	1615.00
1990M9	2067.000	3040.171	10844.000	1537.00
1990M10	1946.000	2742.547	9145.000	1353.00
1990M11	1618.000	2583.815	8587.000	1278.00
1990M12	1522.000	2484.607	8158.000	1265.00
1991M1	1515.000	2447.128	8569.000	1206.00
1991M2	1505.000	2447.128	8672.000	1188.00
1991M3	1496.000	2409.649	8700.000	1199.00
1991M4	1392.000	2471.379	9023.000	1254.00
1991M5	1299.950	2340.425	8499.609	1127.74
1991M6	1283.550	2218.068	8296.500	1067.45
1991M7	1297.547	2231.255	8515.201	1063.41
1991M8	1259.693	2236.187	8154.750	1047.74
1991M9	1212.095	2318.583	7675.953	1025.60
1991M10	1152.955	2360.646	7453.863	991.65
1991M11	1134.925	2375.660	7258.500	1100.65
1991M12	1099.526	2205.918	7140.264	1185.08
1992M1	1181.227	2150.580	7531.137	1157.66
1992M2	1270.750	2208.892	7888.000	1135.48
1992M3	1282.023	2231.786	7430.455	1217.77
1992M4	1317.125	2214.167	7417.951	1304.95
1992M5	1306.711	2219.315	7333.947	1377.74
1992M6	1275.273	2296.442	7202.363	1385.41
1992M7	1314.348	2527.285	7516.174	1320.41
1992M8	1305.550	2513.470	7279.750	1363.40
1992M9	1270.214	2419.614	6918.572	1367.12
1992M10	1180.841	2262.457	6322.500	1158.36
1992M11	1162.214	2161.789	5593.715	1052.24
1992M12	1209.024	2211.950	5751.190	1061.48
1993M1	1208.100	2264.214	5948.100	1067.57
1993M2	1203.150	2212.181	6050.750	1073.63
1993M3	1150.478	2152.380	5974.913	996.76
1993M4	1110.275	1953.621	5987.500	1006.00
1993M5	1125.421	1799.352	5777.790	979.26
